Age,Work_Experience,Spending_Score,Family_Size,Gender_Male,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Profession_Unknown,Ever_Married_Yes,Graduated_Yes,Var_1_Cat_2,Var_1_Cat_3,Var_1_Cat_4,Var_1_Cat_5,Var_1_Cat_6,Var_1_Cat_7,Segmentation_A,Segmentation_B,Segmentation_C,Segmentation_D
0.14504554349581908,0.7341069723669967,0.7345750416286777,1.3918039657233263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
0.26613942879619584,-0.47304951876916784,0.7345750416286777,0.08277672271936795,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.5083271993969494,-0.774838641553209,-0.6146444225872614,-0.5717368987826112,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
-1.2475341374585136,-0.774838641553209,0.7345750416286777,0.7372903442213471,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.9927027405984564,-0.47304951876916784,-0.6146444225872614,1.3918039657233263,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
-0.27878305505549955,0.7341069723669967,-0.6146444225872614,-0.5717368987826112,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0.8110619126478913,-0.47304951876916784,-1.9638638868032003,0.08277672271936795,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
-0.8842524815573833,-0.774838641553209,0.7345750416286777,0.08277672271936795,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-0.5209708256562531,1.9412634635031614,0.7345750416286777,-0.5717368987826112,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
-0.9447994242075718,-0.47304951876916784,-0.6146444225872614,-0.5717368987826112,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
-0.27878305505549955,3.450209077423367,-0.6146444225872614,-0.5717368987826112,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
-1.5502688507094555,-0.47304951876916784,0.7345750416286777,-0.5717368987826112,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.4604238830060647,-0.47304951876916784,0.7345750416286777,1.3918039657233263,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
-1.2475341374585136,-0.47304951876916784,0.7345750416286777,0.7372903442213471,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0.3872333140965726,0.4323178495829556,0.7345750416286777,-0.5717368987826112,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
-0.4604238830060647,-0.47304951876916784,-0.6146444225872614,-0.5717368987826112,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
0.932155797948268,-0.47304951876916784,0.7345750416286777,-0.5717368987826112,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0.932155797948268,-0.774838641553209,0.7345750416286777,0.08277672271936795,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
2.2641885362524126,1.9412634635031614,0.7345750416286777,-1.2262505202845904,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
-1.126440252158137,3.148419954639326,0.7345750416286777,0.08277672271936795,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
-0.15768916975512282,-0.47304951876916784,-1.9638638868032003,1.3918039657233263,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
2.2641885362524126,1.9412634635031614,-1.9638638868032003,-0.5717368987826112,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1.3559843964995866,-0.47304951876916784,-1.9638638868032003,-0.5717368987826112,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0
-0.6420647109566299,-0.47304951876916784,0.7345750416286777,0.08277672271936795,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.27878305505549955,-0.47304951876916784,0.7345750416286777,2.0463175872253054,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-1.4897219080592672,-0.17126039598512668,-1.9638638868032003,1.3918039657233263,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
-0.7631585962570065,-0.47304951876916784,0.7345750416286777,0.7372903442213471,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
-0.4604238830060647,2.2430525862872024,0.7345750416286777,-0.5717368987826112,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
-0.4604238830060647,-0.47304951876916784,0.7345750416286777,-1.2262505202845904,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
-0.6420647109566299,-0.774838641553209,0.7345750416286777,0.7372903442213471,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0.0844986008456307,0.4323178495829556,-0.6146444225872614,0.7372903442213471,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
-0.9447994242075718,-0.47304951876916784,0.7345750416286777,-0.5717368987826112,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
-1.3686280227588905,1.0358960951510379,0.7345750416286777,2.0463175872253054,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
-1.0658933095079486,-0.47304951876916784,0.7345750416286777,0.7372903442213471,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
